t,x1,y1,z1,x2,y2,z2,x3,y3,z3,vx1,vy1,vz1,vx2,vy2,vz2,vx3,vy3,vz3
0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.016,0.0,-0.16000000000000003,-0.016
0.0025,0.0,0.0,0.0,0.9999960937450765,0.00039999947916507774,3.999994791650778e-05,-0.9999960937450765,-0.00039999947916507774,-3.999994791650778e-05,0.0,0.0,0.0,-0.003125007881569257,0.15999937499682138,0.015999937499682135,0.003125007881569257,-0.15999937499682138,-0.015999937499682135
0.005,0.0,0.0,0.0,0.9999843749211638,0.0007999958332824663,7.999958332824663e-05,-0.9999843749211638,-0.0007999958332824663,-7.999958332824663e-05,0.0,0.0,0.0,-0.006250063077248203,0.1599974999491308,0.015999749994913076,0.006250063077248203,-0.1599974999491308,-0.015999749994913076
0.0075,0.0,0.0,0.0,0.9999648433508304,0.0011999859371137006,0.00011999859371137,-0.9999648433508304,-0.0011999859371137006,-0.00011999859371137,0.0,0.0,0.0,-0.009375212905086255,0.15999437474245842,0.015999437474245842,0.009375212905086255,-0.15999437474245842,-0.015999437474245842
0.01,0.0,0.0,0.0,0.9999374987383403,0.0015999666650387274,0.0001599966665038725,-0.9999374987383403,-0.0015999666650387274,-0.0001599966665038725,0.0,0.0,0.0,-0.012500504691013057,0.15998999918600032,0.01599899991860003,0.012500504691013057,-0.15998999918600032,-0.01599899991860003
0.0125,0.0,0.0,0.0,0.9999023406696291,0.0019999348908650316,0.00019999348908650289,-0.9999023406696291,-0.0019999348908650316,-0.00019999348908650289,0.0,0.0,0.0,-0.015625985772780546,0.1599843730125871,0.01599843730125871,0.015625985772780546,-0.1599843730125871,-0.01599843730125871
0.015,0.0,0.0,0.0,0.9998593686122675,0.002399887487636539,0.0002399887487636538,-0.9998593686122675,-0.002399887487636539,-0.0002399887487636538,0.0,0.0,0.0,-0.01875170350390709,0.15997749587864113,0.01599774958786411,0.01875170350390709,-0.15997749587864113,-0.01599774958786411
0.0175,0.0,0.0,0.0,0.9998085819152053,0.0027998213274246673,0.0002799821327424666,-0.9998085819152053,-0.0027998213274246673,-0.0002799821327424666,0.0,0.0,0.0,-0.021877705257588427,0.15996936736422654,0.015996936736422652,0.021877705257588427,-0.15996936736422654,-0.015996936736422652
0.02,0.0,0.0,0.0,0.9997499798091534,0.003199733281172793,0.0003199733281172792,-0.9997499798091534,-0.003199733281172793,-0.0003199733281172792,0.0,0.0,0.0,-0.025004038430731616,0.15995998697274583,0.01599599869727458,0.025004038430731616,-0.15995998697274583,-0.01599599869727458
0.0225,0.0,0.0,0.0,0.9996835614064578,0.00359962021850097,0.00035996202185009684,-0.9996835614064578,-0.00359962021850097,-0.00035996202185009684,0.0,0.0,0.0,-0.02813075044788988,0.15994935413090955,0.015994935413090952,0.02813075044788988,-0.15994935413090955,-0.015994935413090952
0.025,0.0,0.0,0.0,0.9996093257008009,0.003999479007495677,0.00039994790074956754,-0.9996093257008009,-0.003999479007495677,-0.00039994790074956754,0.0,0.0,0.0,-0.03125788876518423,0.15993746818876076,0.015993746818876074,0.03125788876518423,-0.15993746818876076,-0.015993746818876074
0.0275,0.0,0.0,0.0,0.9995272715671301,0.004399306514518793,0.00043993065145187915,-0.9995272715671301,-0.004399306514518793,-0.00043993065145187915,0.0,0.0,0.0,-0.03438550087427715,0.15992432841955784,0.01599243284195578,0.03438550087427715,-0.15992432841955784,-0.01599243284195578
0.03,0.0,0.0,0.0,0.9994373977615753,0.004799099604016218,0.00047990996040162155,-0.9994373977615753,-0.004799099604016218,-0.00047990996040162155,0.0,0.0,0.0,-0.037513634306352336,0.1599099340196462,0.01599099340196462,0.037513634306352336,-0.1599099340196462,-0.01599099340196462
