t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3
0.0,-1.0,0.0,0.0,0.0,0.24,0.0,1.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.016
0.005,-0.9999843749242839,0.0011999937499259435,3.3333655341473893e-10,0.006250060581166466,0.2399962499259426,2.0000322029796144e-07,0.9999843749242839,-0.0011999937499259435,3.3333655341473893e-10,-0.006250060581166466,-0.2399962499259426,2.0000322029796144e-07,0.0,0.0,7.999933332689314e-05,0.0,0.0,0.015999599993559405
0.01,-0.9999374987882648,0.0023999499976299753,2.666769725247109e-09,0.012500484720397009,0.2399849988149491,8.000515311504663e-07,0.9999374987882648,-0.0023999499976299753,2.666769725247109e-09,-0.012500484720397009,-0.2399849988149491,8.000515311504663e-07,0.0,0.0,0.0001599946664605494,0.0,0.0,0.015998399896937698
0.015,-0.9998593688650014,0.003599831231996562,9.000782826984848e-09,0.018751636092033994,0.2399662440000209,1.8002609015580256e-06,0.9998593688650014,-0.003599831231996562,9.000782826984848e-09,-0.018751636092033994,-0.2399662440000209,1.8002609015580256e-06,0.0,0.0,0.0002399819984343461,0.0,0.0,0.015996399478196883
0.02,-0.9997499806083835,0.0047995999240923026,2.133663361009841e-08,0.02500387860304988,0.23993998103443506,3.200824673324122e-06,0.9997499806083835,-0.0047995999240923026,2.133663361009841e-08,-0.02500387860304988,-0.23993998103443506,3.200824673324122e-06,0.0,0.0,0.0003199573267327799,0.0,0.0,0.01599359835065335
0.025,-0.999609327652646,0.005999218518376871,4.1676737301619064e-08,0.03125757650970325,0.2399062036881731,5.0020137093265865e-06,0.999609327652646,-0.005999218518376871,4.1676737301619064e-08,-0.03125757650970325,-0.2399062036881731,5.0020137093265865e-06,0.0,0.0,0.00039991664652539675,0.0,0.0,0.015989995972581345
0.03,-0.9994374018094113,0.007198649423676982,7.202505815543903e-08,0.03751309453424091,0.23986490394477783,7.204176492579576e-06,0.9994374018094113,-0.007198649423676982,7.202505815543903e-08,-0.03751309453424091,-0.23986490394477783,7.204176492579576e-06,0.0,0.0,0.0004798559498836889,0.0,0.0,0.01598559164701484
0.035,-0.9992341930649887,0.008397855004228136,1.1438749846687196e-07,0.04377079798210026,0.23981607199624155,9.807739314371422e-06,0.9992341930649887,-0.008397855004228136,1.1438749846687196e-07,-0.04377079798210026,-0.23981607199624155,9.807739314371422e-06,0.0,0.0,0.0005597712250030659,0.0,0.0,0.015980384521371255
0.04,-0.99899968957734,0.009596797570718506,1.707722875576118e-07,0.050031052859573794,0.23975969623657042,1.281320651555158e-05,0.99899968957734,-0.009596797570718506,1.707722875576118e-07,-0.050031052859573794,-0.23975969623657042,1.281320651555158e-05,0.0,0.0,0.0006396584554248841,0.0,0.0,0.015974373586968897
0.045,-0.9987338776724055,0.01079543937129398,2.4319037220980235e-07,0.056294225991993393,0.23969576325426797,1.62211607665753e-05,0.9987338776724055,-0.01079543937129398,2.4319037220980235e-07,-0.056294225991993393,-0.23969576325426797,1.62211607665753e-05,0.0,0.0,0.0007195136192555793,0.0,0.0,0.01596755767846685
