t,x1,y1,z1,x2,y2,z2,x3,y3,z3
0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0
0.005,3.1452516173832135e-21,1.0417646832484936e-23,-2.0624885063371037e-24,0.9999843749547523,0.0029999843748697162,0.0004999973958116205,-0.9999843749547523,-0.0029999843748697162,-0.0004999973958116205
0.01,5.607258875481844e-20,8.707802534326673e-23,-1.66405406257912e-23,0.9999374992760244,0.005999874995831063,0.0009999791659718446,-0.9999374992760244,-0.005999874995831063,-0.0009999791659718446
0.015,6.283391559680329e-20,1.3589206792289298e-23,-2.3368845128643395e-23,0.9998593713347602,0.008999578093337731,0.0014999296822229553,-0.9998593713347602,-0.008999578093337731,-0.0014999296822229553
0.02,6.716029354123931e-20,-1.1059883623649927e-21,-5.734916116696232e-23,0.9997499884155163,0.01199899986653743,0.001999833311089572,-0.9997499884155163,-0.01199899986653743,-0.001999833311089572
0.025,7.3457746768803e-20,-1.6945541618840175e-21,-7.463655551384683e-23,0.9996093467160654,0.014998046467710763,0.002499674411285128,-0.9996093467160654,-0.014998046467710763,-0.002499674411285128
0.03,9.847829398802584e-20,-1.1668134749988324e-21,-6.55959152225469e-23,0.9994374413466276,0.017996623986517947,0.0029994373310863265,-0.9994374413466276,-0.017996623986517947,-0.0029994373310863265
0.035,1.3482989612701175e-19,-2.0258421968357298e-22,-4.9449414839336646e-23,0.999234266328978,0.02099463843428139,0.003499106405713569,-0.999234266328978,-0.02099463843428139,-0.003499106405713569
0.04,1.5944664819120508e-19,4.7735728793914626e-23,-5.347860001154029e-23,0.9989998145953849,0.02399199572826175,0.003998665954710297,-0.9989998145953849,-0.02399199572826175,-0.003998665954710297
0.045,1.4106613808842802e-19,-1.4826132098904523e-21,-9.908364032444166e-23,0.9987340779873466,0.02698860167588945,0.004498100279314916,-0.9987340779873466,-0.02698860167588945,-0.004498100279314916
0.05,4.668452646022362e-20,-5.431966261126879e-21,-1.9376357934802e-22,0.998437047254129,0.02998436195894498,0.004997393659824174,-0.998437047254129,-0.02998436195894498,-0.004997393659824174
0.055,-1.530400984414548e-19,-1.1843998194667305e-20,-3.280814098744441e-22,0.9981087120510993,0.03297918211768112,0.005496530352946867,-0.9981087120510993,-0.03297918211768112,-0.005496530352946867
0.06,-4.79465536793161e-19,-2.014915495024516e-20,-4.7667780232727665e-22,0.9977490609378595,0.035972967534880496,0.005995494589146765,-0.9977490609378595,-0.035972967534880496,-0.005995494589146765
0.065,-9.427539101154484e-19,-2.9262870756557965e-20,-6.02397314323316e-22,0.9973580813761765,0.03896562341984157,0.006494270569973613,-0.9973580813761765,-0.03896562341984157,-0.006494270569973613
0.07,-1.539800157025881e-18,-3.7769688510650494e-20,-6.625909093680253e-22,0.9969357597277103,0.04195705479228641,0.006992842465381089,-0.9969357597277103,-0.04195705479228641,-0.006992842465381089
0.075,-2.2533300377905394e-18,-4.4162401184738026e-20,-6.166586126654885e-22,0.9964820812515381,0.04494716646618349,0.007491194411030605,-0.9964820812515381,-0.04494716646618349,-0.007491194411030605
0.08,-3.052197093634983e-18,-4.7105332027506716e-20,-4.338961320238077e-22,0.9959970301014772,0.04793586303347877,0.007989310505579819,-0.9959970301014772,-0.04793586303347877,-0.007989310505579819
0.085,-3.892908006775587e-18,-4.569087132693098e-20,-1.0070927183693719e-22,0.9954805893232017,0.05092304884772819,0.008487174807954722,-0.9954805893232017,-0.05092304884772819,-0.008487174807954722
